particle_id,x,y,charge
     1, -2.5364332036E-03, -9.9994611527E+00, 1.0
     2,  2.4674686335E+00,  6.1799617194E+00, 1.0
     3, -1.7125815559E+00, -6.7610424259E+00, 1.0
     4, -9.9975999127E+00, -8.0063519819E+00, 1.0
     5, -5.2959619616E+00, -9.9987192821E+00, 1.0
     6, -9.9848900300E+00, -9.9927937719E+00, 1.0
     7,  2.4469166857E+00, -2.6720528971E+00, 1.0
     8, -6.4325397815E+00, -3.9943283552E+00, 1.0
     9,  9.9954229561E+00,  5.5902837739E+00, 1.0
    10, -1.6763673947E+00,  1.8980753456E+00, 1.0
    11,  6.9184432427E+00,  1.8357510322E+00, 1.0
    12,  1.3071335305E+00,  9.9980349308E+00, 1.0
    13, -2.0619316503E+00,  6.2725186079E+00, 1.0
    14,  8.2098962599E+00,  9.9993518141E+00, 1.0
    15,  2.7203829958E+00, -9.9987626442E+00, 1.0
    16, -9.9982055885E+00,  2.7116961778E+00, 1.0
    17,  9.9948347113E+00, -9.9828632486E+00, 1.0
    18, -8.1083496336E+00,  9.9975004413E+00, 1.0
    19, -9.9884334204E+00,  9.9962092507E+00, 1.0
    20,  6.0093811093E+00,  9.9988191174E+00, 1.0
    21,  9.9954859277E+00,  8.0008872467E+00, 1.0
    22, -9.9997337263E+00, -2.8991804240E+00, 1.0
    23,  3.6555578346E+00,  9.9988450842E+00, 1.0
    24, -9.9992663697E+00, -1.5471191552E-01, 1.0
    25, -9.9969139645E+00,  5.3620890715E+00, 1.0
    26,  2.8597925046E+00,  1.8542382281E+00, 1.0
    27,  2.9113441220E+00, -6.8064921504E+00, 1.0
    28,  9.9993006513E+00,  9.9974239440E+00, 1.0
    29, -6.5664637536E+00, -7.3804377711E+00, 1.0
    30,  9.9995386360E+00,  2.9777659300E+00, 1.0
    31,  6.7607176675E+00, -2.7921778732E+00, 1.0
    32,  7.0184489427E+00, -6.8553582876E+00, 1.0
    33, -2.1107096436E+00, -2.6316611149E+00, 1.0
    34, -6.6066515589E+00, -2.4428592095E-01, 1.0
    35, -7.9749112318E+00, -9.9981788621E+00, 1.0
    36, -9.9942695048E+00,  7.8698617240E+00, 1.0
    37, -1.1103593717E+00,  9.9987380344E+00, 1.0
    38, -6.7677855342E+00,  6.8999475533E+00, 1.0
    39,  6.6355828027E+00,  6.2512426284E+00, 1.0
    40, -9.9991786879E+00, -5.5251485618E+00, 1.0
    41, -3.5715963352E+00,  9.9949544769E+00, 1.0
    42,  9.9990156843E+00, -7.9014289300E+00, 1.0
    43,  9.9999213408E+00, -5.2695075814E+00, 1.0
    44, -2.6610431950E+00, -9.9993399065E+00, 1.0
    45,  7.9962230911E+00, -9.9987074128E+00, 1.0
    46, -6.2280942264E+00,  3.4563557824E+00, 1.0
    47,  5.4373457914E+00, -9.9984986628E+00, 1.0
    48,  9.9975254190E+00, -2.5092215183E+00, 1.0
    49, -5.8978037558E+00,  9.9994154731E+00, 1.0
    50,  9.9999077987E+00,  1.7575539439E-01, 1.0
