particle_id,x,y,charge
     1, -7.6278026634E-01, -9.9852156335E+00, 1.0
     2, -5.4577444941E+00,  7.2136024130E+00, 1.0
     3, -8.1536612446E+00, -2.4401356247E+00, 1.0
     4, -4.5659762911E+00,  1.2124418386E+00, 1.0
     5,  9.9743760768E+00, -6.2219229153E+00, 1.0
     6, -3.1274142584E+00, -9.9705924579E+00, 1.0
     7, -9.9513986378E+00, -6.3400917496E+00, 1.0
     8,  1.3288546519E+00, -7.1552329156E+00, 1.0
     9, -5.7385103482E+00, -9.9772143476E+00, 1.0
    10,  4.3727071779E+00, -9.9600304070E+00, 1.0
    11,  4.7051347941E+00,  8.0214513215E+00, 1.0
    12, -2.1416055136E+00,  4.3129982238E+00, 1.0
    13, -2.1737456490E+00,  9.9647697886E+00, 1.0
    14,  9.5561157465E+00, -8.0075698503E-01, 1.0
    15,  2.9278605023E+00,  1.5786647730E+00, 1.0
    16,  7.4423659667E+00,  6.2382322422E+00, 1.0
    17, -4.1356737287E+00, -3.2835099357E+00, 1.0
    18,  2.0823837225E+00,  5.3655578438E+00, 1.0
    19, -8.2271191002E+00,  1.3083811598E+00, 1.0
    20,  9.6927697179E+00, -2.8676686429E+00, 1.0
    21,  5.6017625101E+00, -6.5541668348E+00, 1.0
    22, -6.5040357909E+00, -6.6558490879E+00, 1.0
    23,  2.6661266624E+00, -3.3122056386E+00, 1.0
    24,  6.4556413693E+00,  9.9652404044E+00, 1.0
    25, -1.3552683018E+00,  7.6513507406E+00, 1.0
    26, -8.5228699799E+00,  9.4034742899E+00, 1.0
    27,  8.4739319202E-01,  9.9703986236E+00, 1.0
    28,  9.9668371924E+00,  9.9827432428E+00, 1.0
    29, -8.1850975420E+00, -9.9937841244E+00, 1.0
    30, -9.9863791686E+00, -7.8100430516E+00, 1.0
    31, -9.9166825130E+00,  2.7000853971E+00, 1.0
    32, -9.9151626058E+00,  5.7394527022E+00, 1.0
    33, -6.9349430729E-01, -8.5708376729E-01, 1.0
    34,  3.2536822682E+00,  9.9963025758E+00, 1.0
    35,  9.9917667031E+00,  1.4998848205E+00, 1.0
    36, -9.9889676200E+00, -5.9747591277E-01, 1.0
    37, -9.9808041310E+00, -4.0246895558E+00, 1.0
    38,  6.3041149070E+00, -2.0934218765E+00, 1.0
    39, -9.9960335801E+00, -9.8732828076E+00, 1.0
    40,  9.9997485027E+00,  6.7169798011E+00, 1.0
    41,  7.0707161471E+00,  2.8256037496E+00, 1.0
    42,  6.2631556290E+00, -9.8945139976E+00, 1.0
    43, -2.6242735483E+00, -6.8394632862E+00, 1.0
    44, -4.9111434792E+00,  9.9976054510E+00, 1.0
    45, -7.1440254478E+00,  4.6486223236E+00, 1.0
    46,  8.3906358907E+00, -5.7435783876E+00, 1.0
    47,  8.6880563521E+00,  9.4201518398E+00, 1.0
    48,  9.9587771682E+00,  3.9612159116E+00, 1.0
    49,  2.2389053505E+00, -9.9924062698E+00, 1.0
    50,  9.8605625489E+00, -9.8455183441E+00, 1.0
