iteration,accepted_count,energy,acceptance_rate
         0,         0,  2.871628563123E+02,  0.0000
         1,         1,  2.041411810253E+02,  1.0000
         4,         2,  2.041201670746E+02,  0.5000
         5,         3,  2.040794430344E+02,  0.6000
         6,         4,  2.037563243481E+02,  0.6667
         7,         5,  2.036553511433E+02,  0.7143
         8,         6,  2.034633751778E+02,  0.7500
        10,         7,  2.031922117753E+02,  0.7000
        11,         8,  2.030111625635E+02,  0.7273
        12,         9,  2.029318915349E+02,  0.7500
        15,        10,  1.927046154118E+02,  0.6667
        16,        11,  1.926862519638E+02,  0.6875
        20,        12,  1.894404564685E+02,  0.6000
        21,        13,  1.894327505693E+02,  0.6190
        22,        14,  1.893222971128E+02,  0.6364
        25,        15,  1.888011255593E+02,  0.6000
        26,        16,  1.886720465882E+02,  0.6154
        27,        17,  1.886610660638E+02,  0.6296
        28,        18,  1.886294933735E+02,  0.6429
        31,        19,  1.885522135634E+02,  0.6129
        32,        20,  1.885360753229E+02,  0.6250
        37,        21,  1.883552851039E+02,  0.5676
        40,        22,  1.883399418959E+02,  0.5500
        41,        23,  1.883317179604E+02,  0.5610
        43,        24,  1.883227339546E+02,  0.5581
        44,        25,  1.882330851271E+02,  0.5682
        46,        26,  1.880555038070E+02,  0.5652
        50,        27,  1.878322390392E+02,  0.5400
        51,        28,  1.876086425465E+02,  0.5490
        52,        29,  1.875125088933E+02,  0.5577
        53,        30,  1.873837722715E+02,  0.5660
        54,        31,  1.873674578199E+02,  0.5741
        56,        32,  1.873511195301E+02,  0.5714
        63,        33,  1.871383962575E+02,  0.5238
        64,        34,  1.870826078621E+02,  0.5312
        66,        35,  1.870654551836E+02,  0.5303
        70,        36,  1.869791966383E+02,  0.5143
        73,        37,  1.864282542070E+02,  0.5068
        75,        38,  1.863981015489E+02,  0.5067
        76,        39,  1.863084608576E+02,  0.5132
        77,        40,  1.861438232199E+02,  0.5195
        79,        41,  1.859948331781E+02,  0.5190
        80,        42,  1.859720015789E+02,  0.5250
        83,        43,  1.855075381079E+02,  0.5181
        84,        44,  1.852163085714E+02,  0.5238
        91,        45,  1.852139073980E+02,  0.4945
        94,        46,  1.851391739987E+02,  0.4894
        95,        47,  1.849131905703E+02,  0.4947
        96,        48,  1.848797987568E+02,  0.5000
        99,        49,  1.848401227495E+02,  0.4949
       100,        50,  1.848146213379E+02,  0.5000
       102,        51,  1.847969039472E+02,  0.5000
       104,        52,  1.847271806952E+02,  0.5000
       113,        53,  1.846447809707E+02,  0.4690
       115,        54,  1.845212065377E+02,  0.4696
       116,        55,  1.845116573361E+02,  0.4741
       117,        56,  1.844889312607E+02,  0.4786
       118,        57,  1.844395000680E+02,  0.4831
       119,        58,  1.843555748042E+02,  0.4874
       120,        59,  1.843107925377E+02,  0.4917
       122,        60,  1.841778524938E+02,  0.4918
       123,        61,  1.840734722721E+02,  0.4959
       124,        62,  1.840651458885E+02,  0.5000
       125,        63,  1.838666810991E+02,  0.5040
       128,        64,  1.838471661288E+02,  0.5000
       131,        65,  1.836633287477E+02,  0.4962
       132,        66,  1.835157251506E+02,  0.5000
       136,        67,  1.834531033996E+02,  0.4926
       137,        68,  1.833214968460E+02,  0.4964
       138,        69,  1.832523259797E+02,  0.5000
       144,        70,  1.832192401653E+02,  0.4861
       145,        71,  1.831783490508E+02,  0.4897
       150,        72,  1.830683087572E+02,  0.4800
       151,        73,  1.830269476426E+02,  0.4834
       153,        74,  1.830259134838E+02,  0.4837
       154,        75,  1.820498374308E+02,  0.4870
       156,        76,  1.819826018257E+02,  0.4872
       159,        77,  1.818871065264E+02,  0.4843
       160,        78,  1.818399756990E+02,  0.4875
       164,        79,  1.817523343453E+02,  0.4817
       165,        80,  1.817333236681E+02,  0.4848
       167,        81,  1.815118695479E+02,  0.4850
       169,        82,  1.814650492807E+02,  0.4852
       170,        83,  1.814424685636E+02,  0.4882
       171,        84,  1.812437839576E+02,  0.4912
       172,        85,  1.812149882023E+02,  0.4942
       173,        86,  1.811817666662E+02,  0.4971
       177,        87,  1.809965750566E+02,  0.4915
       180,        88,  1.809881998259E+02,  0.4889
       181,        89,  1.808434072349E+02,  0.4917
       184,        90,  1.807771165782E+02,  0.4891
       185,        91,  1.806204065639E+02,  0.4919
       186,        92,  1.805215345455E+02,  0.4946
       189,        93,  1.804335227358E+02,  0.4921
       190,        94,  1.803498711644E+02,  0.4947
       192,        95,  1.803187305313E+02,  0.4948
       193,        96,  1.802517287337E+02,  0.4974
       196,        97,  1.802330613662E+02,  0.4949
       199,        98,  1.801622878602E+02,  0.4925
       200,        99,  1.801201279492E+02,  0.4950
       202,       100,  1.800764960730E+02,  0.4950
       204,       101,  1.800383981678E+02,  0.4951
       207,       102,  1.800234994602E+02,  0.4928
       209,       103,  1.800072086710E+02,  0.4928
       212,       104,  1.798284650465E+02,  0.4906
       213,       105,  1.797850566472E+02,  0.4930
       218,       106,  1.797558280588E+02,  0.4862
       219,       107,  1.796164113472E+02,  0.4886
       225,       108,  1.795701829070E+02,  0.4800
       226,       109,  1.794891646854E+02,  0.4823
       227,       110,  1.794738144397E+02,  0.4846
       231,       111,  1.794108594111E+02,  0.4805
       235,       112,  1.793413098080E+02,  0.4766
       238,       113,  1.792040622793E+02,  0.4748
       244,       114,  1.791683704456E+02,  0.4672
       245,       115,  1.790962396755E+02,  0.4694
       246,       116,  1.789403880526E+02,  0.4715
       248,       117,  1.789269792759E+02,  0.4718
       249,       118,  1.789187961880E+02,  0.4739
       250,       119,  1.787765072923E+02,  0.4760
       251,       120,  1.787738731541E+02,  0.4781
       253,       121,  1.779973384352E+02,  0.4783
       254,       122,  1.779930022950E+02,  0.4803
       257,       123,  1.779488858925E+02,  0.4786
       262,       124,  1.778996951381E+02,  0.4733
       265,       125,  1.778558764171E+02,  0.4717
       266,       126,  1.777531636552E+02,  0.4737
       268,       127,  1.775502748307E+02,  0.4739
       271,       128,  1.774535318020E+02,  0.4723
       272,       129,  1.774417792975E+02,  0.4743
       273,       130,  1.774351271519E+02,  0.4762
       274,       131,  1.774178730489E+02,  0.4781
       277,       132,  1.773408128431E+02,  0.4765
       280,       133,  1.773083072668E+02,  0.4750
       281,       134,  1.773078432566E+02,  0.4769
       282,       135,  1.772903327244E+02,  0.4787
       285,       136,  1.772548830766E+02,  0.4772
       286,       137,  1.765586790890E+02,  0.4790
       287,       138,  1.765015921807E+02,  0.4808
       289,       139,  1.764839738305E+02,  0.4810
       290,       140,  1.764456982541E+02,  0.4828
       291,       141,  1.763432669535E+02,  0.4845
       293,       142,  1.763069041458E+02,  0.4846
       296,       143,  1.762262132567E+02,  0.4831
       302,       144,  1.760723443824E+02,  0.4768
       306,       145,  1.758948334550E+02,  0.4739
       307,       146,  1.758937084513E+02,  0.4756
