particle_id,x,y,charge
     1, -6.9916510663E-01, -7.8745353270E+00, 1.0
     2,  9.3071193174E+00, -6.3827617504E+00, 1.0
     3, -3.4572473652E+00, -3.7887424401E+00, 1.0
     4,  3.7214726693E+00,  6.6813289158E-02, 1.0
     5,  6.2128392438E+00,  7.2216247178E+00, 1.0
     6, -9.8215139096E+00, -7.8636694748E+00, 1.0
     7,  9.5117644319E+00, -1.5234814321E-01, 1.0
     8,  6.0706973740E+00,  3.4335435784E+00, 1.0
     9, -1.4203705342E+00,  9.5934190778E+00, 1.0
    10, -6.2755124178E+00,  9.9348837496E+00, 1.0
    11, -3.1352215667E+00, -8.9395375012E+00, 1.0
    12,  1.8386421520E+00,  6.0200278990E+00, 1.0
    13,  3.0958545453E+00,  5.2172465431E+00, 1.0
    14,  6.8175232598E+00, -5.5942557749E+00, 1.0
    15, -7.7935997458E+00, -1.6044652442E-01, 1.0
    16,  4.8885796058E+00, -5.8835820483E+00, 1.0
    17,  9.9655990469E+00,  1.6931265289E+00, 1.0
    18,  8.9017440115E+00,  4.6649922810E+00, 1.0
    19,  3.8080090413E+00,  9.9736801632E+00, 1.0
    20, -5.2412737907E+00,  1.4559067812E+00, 1.0
    21,  3.2689365085E-01,  5.4257242546E+00, 1.0
    22, -9.9874361258E+00,  3.0333998130E+00, 1.0
    23, -6.4247620323E+00,  7.3411904188E+00, 1.0
    24, -2.7181233463E+00,  6.3882808214E+00, 1.0
    25, -5.7948063669E+00, -2.1387295368E+00, 1.0
    26,  4.8247281959E+00,  8.9135688741E+00, 1.0
    27, -2.2209792540E+00, -6.3905817481E+00, 1.0
    28, -3.9838471761E+00, -5.0499130563E-01, 1.0
    29, -7.6055791212E+00,  5.0103628579E+00, 1.0
    30,  1.6633805009E+00, -4.9479513962E+00, 1.0
    31, -9.9510404741E+00,  8.8428293678E+00, 1.0
    32, -6.9144428211E+00, -3.8455425511E+00, 1.0
    33,  4.4080686828E-01, -1.7836973280E+00, 1.0
    34, -1.0740709780E+00,  7.1954525123E+00, 1.0
    35, -2.9565495399E+00,  9.5145963913E+00, 1.0
    36, -4.9142322163E+00, -5.9347169117E+00, 1.0
    37,  9.6948829877E-01, -8.9140363242E+00, 1.0
    38, -9.9999172838E+00, -4.8349688416E+00, 1.0
    39,  9.9366937727E+00,  3.2156752603E+00, 1.0
    40,  6.2132878912E-01,  7.3447680114E+00, 1.0
    41,  8.9334616984E+00, -1.7719025683E+00, 1.0
    42, -4.5540966751E+00,  6.4968666952E+00, 1.0
    43, -9.0992176003E+00, -3.2818962510E+00, 1.0
    44,  5.2767788182E+00, -8.2918913018E+00, 1.0
    45,  8.9469115954E+00, -4.2446748088E+00, 1.0
    46,  6.2857232274E+00, -2.0555301482E+00, 1.0
    47, -5.2960228623E+00,  3.6684803590E+00, 1.0
    48,  1.9719344210E+00,  9.4932751820E+00, 1.0
    49, -5.4614852059E+00, -9.3418023405E+00, 1.0
    50, -9.7377077427E-02,  9.3166664593E+00, 1.0
