particle_id,x,y,charge
     1,  9.4415053189E-01, -9.9997652471E+00, 1.0
     2,  5.1443400821E+00,  9.9998761433E+00, 1.0
     3, -6.6521858851E+00, -6.2383082473E+00, 1.0
     4, -3.0050848015E+00,  9.9995581826E+00, 1.0
     5, -1.4871420099E+00, -9.9995899406E+00, 1.0
     6,  9.9999612565E+00, -7.8613327468E+00, 1.0
     7,  9.9995933803E+00,  8.0509544697E+00, 1.0
     8, -2.3589339811E+00, -6.2740366645E+00, 1.0
     9,  3.3954699140E+00, -9.9995247037E+00, 1.0
    10,  1.8445028441E+00, -1.9573365348E+00, 1.0
    11, -9.9990237568E+00,  2.7220358402E+00, 1.0
    12,  9.9971888749E+00,  9.9961847240E+00, 1.0
    13, -2.7020654463E+00, -2.0145453629E+00, 1.0
    14, -9.9999735357E+00, -6.2708611996E-02, 1.0
    15,  6.4537214794E+00, -3.4741306416E+00, 1.0
    16,  9.9997878103E+00,  5.6330649429E+00, 1.0
    17,  5.8064991025E+00, -9.9988027221E+00, 1.0
    18, -9.9982377110E+00, -9.9966510650E+00, 1.0
    19, -6.8145828821E+00, -1.8669701568E+00, 1.0
    20, -6.7139503564E+00,  2.6001071844E+00, 1.0
    21,  9.9998794554E+00, -2.5168227304E+00, 1.0
    22,  2.4503104865E+00,  9.9994550929E+00, 1.0
    23, -9.9999571926E+00,  7.8782140946E+00, 1.0
    24, -9.9995192727E+00, -2.8418591566E+00, 1.0
    25,  6.5112042745E+00,  7.4627275745E+00, 1.0
    26, -8.0459002944E+00,  9.9986545702E+00, 1.0
    27, -5.6447083488E+00,  9.9995435333E+00, 1.0
    28, -3.1686671292E-01,  9.9999388892E+00, 1.0
    29,  9.9982733829E+00, -9.9990640319E+00, 1.0
    30,  6.8182847265E+00, -6.9660931083E+00, 1.0
    31,  1.8300111423E+00,  6.8025555990E+00, 1.0
    32, -2.6986779438E+00,  6.6960259390E+00, 1.0
    33,  6.4846483823E+00,  2.7552656486E-01, 1.0
    34,  9.9998222241E+00, -5.2653934692E+00, 1.0
    35,  2.0842222237E+00,  2.6504209988E+00, 1.0
    36, -2.4678211820E+00,  2.5207933317E+00, 1.0
    37,  6.5458357575E+00,  4.0468736368E+00, 1.0
    38, -9.9992040766E+00, -7.8657597071E+00, 1.0
    39, -9.9953031022E+00,  9.9953765126E+00, 1.0
    40, -6.1491753458E+00, -9.9998633720E+00, 1.0
    41, -9.9998977794E+00,  5.3749205719E+00, 1.0
    42, -3.8931317060E+00, -9.9999517363E+00, 1.0
    43,  9.9986567255E+00,  2.4314613194E-01, 1.0
    44,  8.1162689230E+00, -9.9995853898E+00, 1.0
    45,  9.9998778730E+00,  3.0084950197E+00, 1.0
    46,  7.8876367814E+00,  9.9997768411E+00, 1.0
    47,  2.2369346800E+00, -6.3033339139E+00, 1.0
    48, -6.8442568294E+00,  6.7419243000E+00, 1.0
    49, -9.9998876650E+00, -5.4175031623E+00, 1.0
    50, -8.2605124266E+00, -9.9995039917E+00, 1.0
