particle_id,x,y,charge
     1, -4.1408565314E-01, -7.6269848780E+00, 1.0
     2,  4.4831042316E+00, -9.9734856719E+00, 1.0
     3, -3.5922020107E+00, -6.4817305213E-01, 1.0
     4, -7.7553582758E+00, -5.3321576806E+00, 1.0
     5, -2.9820045274E+00, -7.3052915271E+00, 1.0
     6, -6.1878826024E+00,  8.1146912810E+00, 1.0
     7, -2.6530612245E+00, -1.0000000000E+01, 1.0
     8,  2.0894520843E+00,  8.2077200673E+00, 1.0
     9,  8.8004967273E+00, -9.5905686225E+00, 1.0
    10,  7.9809560460E+00,  3.1810664359E+00, 1.0
    11, -9.1429133809E+00, -6.1111730291E+00, 1.0
    12, -2.4561746010E+00,  9.9392240272E+00, 1.0
    13, -6.3846223502E+00, -1.0745237328E+00, 1.0
    14,  5.2958867459E+00,  5.4350127093E+00, 1.0
    15,  4.7604360391E+00, -3.0822687105E+00, 1.0
    16,  1.0000000000E+01,  1.0204081633E+00, 1.0
    17,  5.5136638045E+00, -9.5325894309E+00, 1.0
    18,  7.4342935248E+00, -2.9132868071E-01, 1.0
    19, -6.6244538314E+00,  1.2865862163E+00, 1.0
    20,  3.9273151894E+00, -5.6254931857E+00, 1.0
    21,  6.7027435616E+00, -8.7766832397E+00, 1.0
    22, -1.2883849726E+00, -5.8588698921E+00, 1.0
    23, -4.9934158017E+00,  9.9518050650E+00, 1.0
    24, -4.8559338209E+00, -3.8475070710E+00, 1.0
    25, -8.6414486831E+00,  2.5179068719E+00, 1.0
    26,  9.5965069247E+00,  9.7619681467E+00, 1.0
    27,  9.9529460584E+00, -5.7072683406E+00, 1.0
    28, -2.5302257602E+00,  8.7104817737E+00, 1.0
    29,  7.0712514029E+00, -6.9861056695E+00, 1.0
    30, -9.8877454088E+00,  6.3269576233E-01, 1.0
    31,  9.1708955231E+00, -7.6305191325E+00, 1.0
    32, -7.9944624718E+00,  7.7696077090E-01, 1.0
    33,  5.2925647051E+00,  3.1768747957E+00, 1.0
    34,  2.4848501655E+00, -5.8102019414E-01, 1.0
    35,  5.0046268075E+00, -5.7461353746E-01, 1.0
    36, -2.4617043080E+00,  2.2096043952E+00, 1.0
    37, -8.2394616096E+00, -2.1907870371E+00, 1.0
    38, -3.7820619576E+00,  5.7660906341E+00, 1.0
    39,  2.3126554550E+00, -6.5816219383E+00, 1.0
    40, -8.0920608761E+00,  9.0497445941E+00, 1.0
    41,  5.3918964631E+00,  9.6657681252E+00, 1.0
    42, -9.5325768001E+00,  7.3597691434E+00, 1.0
    43,  4.0408085119E+00, -8.1134180019E+00, 1.0
    44,  9.3600915420E+00, -1.2554575047E+00, 1.0
    45, -4.7859017514E+00, -9.6928491689E+00, 1.0
    46,  9.6844307494E+00, -9.0727338496E+00, 1.0
    47, -1.4364012354E+00,  8.2525308466E+00, 1.0
    48, -3.3783024930E+00,  3.2437076668E+00, 1.0
    49, -2.0572311435E+00, -2.7762438287E+00, 1.0
    50,  5.2168725285E+00,  8.0538267438E+00, 1.0
