particle_id,x,y,charge
     1,  7.2095061753E-01, -7.4223628836E+00, 1.0
     2,  8.5497916266E+00,  9.0081354138E+00, 1.0
     3, -1.9757534585E-01, -1.1414173086E+00, 1.0
     4,  8.6960597120E-01,  6.5781027965E+00, 1.0
     5, -7.4340990264E-01, -3.8479781295E+00, 1.0
     6, -2.0080364405E+00, -7.8301922886E+00, 1.0
     7, -7.7126561450E+00, -3.8113603497E+00, 1.0
     8,  2.4632967866E+00,  3.5681959853E+00, 1.0
     9,  2.5093531025E+00,  8.4738344864E+00, 1.0
    10, -6.7380123660E+00, -2.3776983591E+00, 1.0
    11,  7.3919354291E-01,  6.6261115504E+00, 1.0
    12, -7.8516858652E+00, -3.4253008376E-01, 1.0
    13,  7.6825157701E+00, -4.1144816514E+00, 1.0
    14,  8.9216621378E+00, -3.4947638731E+00, 1.0
    15, -6.2626657592E+00, -1.6053693937E+00, 1.0
    16, -8.6713105698E+00,  8.2658488533E+00, 1.0
    17, -8.9319672249E+00,  8.9764658095E+00, 1.0
    18,  6.4690091490E+00, -1.0813976767E+00, 1.0
    19,  4.5022180439E+00,  5.5475589972E+00, 1.0
    20, -7.7509513135E+00, -1.4743398559E+00, 1.0
    21,  2.7131203966E+00,  4.7208729117E+00, 1.0
    22, -5.8517981210E+00, -8.8980999083E+00, 1.0
    23, -9.3133503275E+00,  1.7501475679E+00, 1.0
    24, -8.0167605434E+00, -1.2294130473E+00, 1.0
    25, -6.7464143066E+00, -2.3649181509E+00, 1.0
    26,  7.4893750835E-01,  6.6243149888E+00,-1.0
    27, -7.3889217331E-01, -3.8687426485E+00,-1.0
    28,  6.4673736768E+00, -1.0634012154E+00,-1.0
    29,  7.3029973590E-01, -7.4196014078E+00,-1.0
    30, -5.8523558859E+00, -8.9006908105E+00,-1.0
    31,  2.4595556297E+00,  3.5638943725E+00,-1.0
    32,  4.5048730777E+00,  5.5405742613E+00,-1.0
    33, -9.3142910590E+00,  1.7469339043E+00,-1.0
    34, -2.0076654947E+00, -7.8352916764E+00,-1.0
    35, -8.6673750102E+00,  8.2836909020E+00,-1.0
    36, -7.8491452395E+00, -3.4871381375E-01,-1.0
    37,  7.6495417589E+00, -4.0956275661E+00,-1.0
    38, -8.9327581960E+00,  8.9707554740E+00,-1.0
    39, -7.7124188324E+00, -3.8078029144E+00,-1.0
    40, -6.2629049154E+00, -1.5873072452E+00,-1.0
    41,  2.5045159524E+00,  8.4761615779E+00,-1.0
    42,  2.7123578400E+00,  4.7331150959E+00,-1.0
    43,  7.6796018367E+00, -4.1264204081E+00,-1.0
    44, -7.7463591268E+00, -1.4821241867E+00,-1.0
    45, -6.7398725114E+00, -2.3751110805E+00,-1.0
    46,  8.5642167354E+00,  9.0221820962E+00,-1.0
    47,  8.9272065984E+00, -3.4912609152E+00,-1.0
    48, -1.7543741269E-01, -1.1401874745E+00,-1.0
    49, -8.0083075378E+00, -1.2417846520E+00,-1.0
    50, -7.6580572060E+00, -4.3440474954E+00,-1.0
