iteration,accepted_count,energy,acceptance_rate
         0,         0,  1.736498569765E+02,  0.0000
         2,         1,  1.736442875578E+02,  0.5000
         7,         2,  1.735655096931E+02,  0.2857
        10,         3,  1.734621113710E+02,  0.3000
        11,         4,  1.730116472913E+02,  0.3636
        20,         5,  1.728946838468E+02,  0.2500
        23,         6,  1.726857634694E+02,  0.2609
        31,         7,  1.725350847677E+02,  0.2258
        42,         8,  1.724817816389E+02,  0.1905
        48,         9,  1.722187892398E+02,  0.1875
        50,        10,  1.720349401962E+02,  0.2000
        53,        11,  1.713299178961E+02,  0.2075
        56,        12,  1.710655824362E+02,  0.2143
        60,        13,  1.707003511280E+02,  0.2167
        67,        14,  1.706213048425E+02,  0.2090
        72,        15,  1.705145599426E+02,  0.2083
        74,        16,  1.702887689357E+02,  0.2162
        79,        17,  1.702035598301E+02,  0.2152
        94,        18,  1.687104485447E+02,  0.1915
        99,        19,  1.685385154529E+02,  0.1919
       106,        20,  1.684112103826E+02,  0.1887
       107,        21,  1.679281445498E+02,  0.1963
       109,        22,  1.678291765254E+02,  0.2018
       116,        23,  1.676129492176E+02,  0.1983
       117,        24,  1.673600909325E+02,  0.2051
       120,        25,  1.672299100816E+02,  0.2083
       125,        26,  1.671918245734E+02,  0.2080
       141,        27,  1.669884737654E+02,  0.1915
       146,        28,  1.668694613949E+02,  0.1918
       165,        29,  1.668304550162E+02,  0.1758
       173,        30,  1.665197818985E+02,  0.1734
       180,        31,  1.663564910969E+02,  0.1722
       182,        32,  1.662766063477E+02,  0.1758
       183,        33,  1.660099707268E+02,  0.1803
       184,        34,  1.659145995489E+02,  0.1848
       186,        35,  1.658652403448E+02,  0.1882
       187,        36,  1.656087703872E+02,  0.1925
       193,        37,  1.654422939996E+02,  0.1917
       199,        38,  1.652722005073E+02,  0.1910
       202,        39,  1.649454803248E+02,  0.1931
       237,        40,  1.648421938632E+02,  0.1688
       238,        41,  1.647952651408E+02,  0.1723
       240,        42,  1.647725610764E+02,  0.1750
       252,        43,  1.647448929082E+02,  0.1706
       253,        44,  1.644388090725E+02,  0.1739
       256,        45,  1.642377438442E+02,  0.1758
       273,        46,  1.640864032940E+02,  0.1685
       277,        47,  1.640151298368E+02,  0.1697
       279,        48,  1.639675730514E+02,  0.1720
       284,        49,  1.637788749068E+02,  0.1725
       296,        50,  1.637616194878E+02,  0.1689
       310,        51,  1.636785336755E+02,  0.1645
       315,        52,  1.634303545146E+02,  0.1651
       316,        53,  1.631290319121E+02,  0.1677
       318,        54,  1.629063575338E+02,  0.1698
       344,        55,  1.628565154288E+02,  0.1599
       367,        56,  1.628413378709E+02,  0.1526
       370,        57,  1.627496016256E+02,  0.1541
       371,        58,  1.626003809046E+02,  0.1563
       379,        59,  1.624753850036E+02,  0.1557
       381,        60,  1.622437264550E+02,  0.1575
       382,        61,  1.621146470323E+02,  0.1597
       383,        62,  1.620772420306E+02,  0.1619
       395,        63,  1.618893770418E+02,  0.1595
       396,        64,  1.618469512832E+02,  0.1616
       401,        65,  1.618394997759E+02,  0.1621
       425,        66,  1.618285874716E+02,  0.1553
       433,        67,  1.616098062075E+02,  0.1547
       436,        68,  1.616086673110E+02,  0.1560
       438,        69,  1.614952909580E+02,  0.1575
       469,        70,  1.612957589075E+02,  0.1493
       473,        71,  1.611426708050E+02,  0.1501
       485,        72,  1.611207439031E+02,  0.1485
       487,        73,  1.608138321019E+02,  0.1499
       491,        74,  1.606218821037E+02,  0.1507
       498,        75,  1.605696269437E+02,  0.1506
       508,        76,  1.605078412564E+02,  0.1496
       509,        77,  1.603077569553E+02,  0.1513
       524,        78,  1.602122531507E+02,  0.1489
       533,        79,  1.600871700996E+02,  0.1482
       543,        80,  1.599989165679E+02,  0.1473
       544,        81,  1.599705838464E+02,  0.1489
       553,        82,  1.599302289052E+02,  0.1483
       554,        83,  1.597643474274E+02,  0.1498
       558,        84,  1.596102458122E+02,  0.1505
       562,        85,  1.595353783978E+02,  0.1512
       566,        86,  1.592635362980E+02,  0.1519
       572,        87,  1.591913342608E+02,  0.1521
       576,        88,  1.590336530531E+02,  0.1528
       577,        89,  1.590295614525E+02,  0.1542
       586,        90,  1.588987518622E+02,  0.1536
       587,        91,  1.587976100984E+02,  0.1550
