particle_id,x,y,charge
     1, -1.0137931202E+00, -8.4171031777E+00, 1.0
     2, -5.5503470134E+00, -3.1886984025E-01, 1.0
     3, -4.4119992075E+00, -3.4147625179E+00, 1.0
     4, -9.4615954309E+00,  7.2382597069E+00, 1.0
     5,  4.4695752755E+00,  9.7089649861E+00, 1.0
     6,  6.3020196220E+00,  3.9748095891E+00, 1.0
     7,  3.6124700078E+00, -5.1982142754E+00, 1.0
     8,  2.5611119181E+00, -1.4675712687E+00, 1.0
     9, -7.8259105287E-01,  2.6016294271E+00, 1.0
    10,  4.6856816897E+00,  5.3340950402E+00, 1.0
    11, -1.8131331916E+00,  7.9119609914E+00, 1.0
    12,  7.6325903795E+00,  1.8575349137E+00, 1.0
    13, -4.5786006647E+00, -9.9919769411E+00, 1.0
    14,  2.6165178455E+00,  9.1892870742E+00, 1.0
    15, -2.2601008538E+00,  6.0205875502E+00, 1.0
    16, -5.6478372516E-01, -4.3805120184E+00, 1.0
    17, -8.6346082184E+00,  8.6058681177E+00, 1.0
    18,  9.9971526692E+00,  4.9254500771E+00, 1.0
    19, -6.2781941753E+00,  2.5579000707E+00, 1.0
    20,  8.9264032447E+00,  6.7037100300E+00, 1.0
    21, -9.5075314274E+00,  6.0718966878E-01, 1.0
    22, -5.2908274816E+00,  6.7549531964E+00, 1.0
    23,  9.7633161123E+00,  1.3879834171E+00, 1.0
    24, -9.4205469826E+00,  5.1430932890E+00, 1.0
    25, -6.8897235241E+00,  8.2542814606E+00, 1.0
    26,  7.3331510522E-01,  9.6308580368E+00, 1.0
    27, -9.8835411227E+00, -8.0818456831E+00, 1.0
    28,  4.4308637045E+00, -9.9647853772E+00, 1.0
    29, -8.0266500801E+00, -1.5597566804E+00, 1.0
    30,  2.3056676209E+00, -7.1842462808E+00, 1.0
    31,  2.5099457284E+00,  3.5192504975E+00, 1.0
    32,  9.2715735041E+00, -6.8880003588E-01, 1.0
    33,  8.3584812681E-01, -8.7538445499E+00, 1.0
    34, -2.7877702672E+00, -6.1283582693E+00, 1.0
    35,  1.6148409173E+00,  6.4536279482E+00, 1.0
    36, -8.0485982133E+00, -6.7121119973E+00, 1.0
    37, -7.7663706055E-01,  9.9633092104E+00, 1.0
    38,  6.6538367794E+00, -9.9654932890E+00, 1.0
    39,  6.0138486004E+00,  2.5936241185E-01, 1.0
    40,  6.6373355051E+00, -1.8550856600E+00, 1.0
    41,  8.0631030913E+00, -8.4630849394E+00, 1.0
    42, -2.3587539033E-01, -2.6749512188E-02, 1.0
    43,  6.2933726407E+00, -7.1683039967E+00, 1.0
    44,  5.7998641785E+00,  9.5014863123E+00, 1.0
    45,  5.2068658708E+00, -3.5007563953E+00, 1.0
    46, -7.4069559054E+00, -4.7818204508E+00, 1.0
    47, -9.9960739581E+00, -3.3621007458E+00, 1.0
    48, -4.1447637126E+00,  4.0241519014E+00, 1.0
    49, -7.0120337309E+00, -9.0801181047E+00, 1.0
    50,  8.1411879819E+00,  9.7543647775E+00, 1.0
