iteration,accepted_count,energy,acceptance_rate
         0,         0, -1.595948892785E+01,  0.0000
         3,         1, -1.613472445337E+01,  0.3333
         5,         2, -1.665602162522E+01,  0.4000
        11,         3, -1.732563322354E+01,  0.2727
        20,         4, -1.739352420557E+01,  0.2000
        29,         5, -1.745386280838E+01,  0.1724
        30,         6, -1.762722787104E+01,  0.2000
        32,         7, -1.830511867160E+01,  0.2188
        38,         8, -1.853631571958E+01,  0.2105
        40,         9, -1.930533393702E+01,  0.2250
        46,        10, -2.000246547749E+01,  0.2174
        47,        11, -2.089742821722E+01,  0.2340
        54,        12, -2.097946555380E+01,  0.2222
        61,        13, -2.111431097664E+01,  0.2131
        62,        14, -2.195890851116E+01,  0.2258
        68,        15, -2.304956379964E+01,  0.2206
        70,        16, -2.347855253935E+01,  0.2286
        75,        17, -2.366732305245E+01,  0.2267
        78,        18, -2.398365110999E+01,  0.2308
        85,        19, -2.413912005018E+01,  0.2235
        95,        20, -2.420591854338E+01,  0.2105
        97,        21, -2.481634941121E+01,  0.2165
       105,        22, -2.505595405163E+01,  0.2095
       127,        23, -2.510794600742E+01,  0.1811
       129,        24, -2.532113203445E+01,  0.1860
       135,        25, -2.543167193736E+01,  0.1852
       152,        26, -2.610611877162E+01,  0.1711
       157,        27, -2.620678806916E+01,  0.1720
       158,        28, -2.636362823009E+01,  0.1772
       196,        29, -2.645208897377E+01,  0.1480
       198,        30, -2.688883203849E+01,  0.1515
       221,        31, -2.712670571980E+01,  0.1403
       225,        32, -2.717733226412E+01,  0.1422
       237,        33, -2.719334848707E+01,  0.1392
       238,        34, -2.732228633444E+01,  0.1429
       244,        35, -2.739841242427E+01,  0.1434
       246,        36, -2.773976315420E+01,  0.1463
       275,        37, -2.832837613390E+01,  0.1345
       280,        38, -2.842556361410E+01,  0.1357
       283,        39, -2.874846823164E+01,  0.1378
       285,        40, -3.000157450303E+01,  0.1404
       293,        41, -3.057683837492E+01,  0.1399
       297,        42, -3.129560846450E+01,  0.1414
       298,        43, -3.135005978271E+01,  0.1443
       301,        44, -3.147589123474E+01,  0.1462
       304,        45, -3.264132472916E+01,  0.1480
       312,        46, -3.310538375970E+01,  0.1474
       314,        47, -3.314372036589E+01,  0.1497
       326,        48, -3.317703306752E+01,  0.1472
       327,        49, -3.320693363102E+01,  0.1498
       334,        50, -3.333211297875E+01,  0.1497
       336,        51, -3.388356168871E+01,  0.1518
       355,        52, -3.472323534018E+01,  0.1465
       357,        53, -3.482307353876E+01,  0.1485
       358,        54, -3.547862402106E+01,  0.1508
       359,        55, -3.550558581508E+01,  0.1532
       381,        56, -3.589519388925E+01,  0.1470
       384,        57, -3.622466282215E+01,  0.1484
       385,        58, -3.737202578768E+01,  0.1506
       387,        59, -3.765015249369E+01,  0.1525
       391,        60, -3.776708852301E+01,  0.1535
       397,        61, -3.777094078486E+01,  0.1537
       400,        62, -3.792174230233E+01,  0.1550
       420,        63, -3.826311275041E+01,  0.1500
       422,        64, -3.829460296659E+01,  0.1517
       429,        65, -3.950308286950E+01,  0.1515
       443,        66, -3.982981403363E+01,  0.1490
       452,        67, -4.080415721731E+01,  0.1482
       459,        68, -4.083050997637E+01,  0.1481
       462,        69, -4.085318835903E+01,  0.1494
       464,        70, -4.091395679759E+01,  0.1509
       465,        71, -4.102672957708E+01,  0.1527
       470,        72, -4.109654046654E+01,  0.1532
       473,        73, -4.133148483358E+01,  0.1543
       476,        74, -4.151425175869E+01,  0.1555
       491,        75, -4.170660902581E+01,  0.1527
       501,        76, -4.237018044121E+01,  0.1517
       508,        77, -4.251400128018E+01,  0.1516
       513,        78, -4.253577486741E+01,  0.1520
       518,        79, -4.327081167767E+01,  0.1525
       523,        80, -4.348939650792E+01,  0.1530
       530,        81, -4.401344427281E+01,  0.1528
       533,        82, -4.463682135608E+01,  0.1538
       535,        83, -4.466650438345E+01,  0.1551
       540,        84, -4.477863455404E+01,  0.1556
       553,        85, -4.482076739272E+01,  0.1537
       555,        86, -4.487544827760E+01,  0.1550
       556,        87, -4.573758988093E+01,  0.1565
       564,        88, -4.643259365913E+01,  0.1560
       565,        89, -4.717737856822E+01,  0.1575
       576,        90, -4.860123869227E+01,  0.1562
       598,        91, -4.913588190037E+01,  0.1522
       604,        92, -4.926807583895E+01,  0.1523
       618,        93, -4.931858341809E+01,  0.1505
       620,        94, -4.936901835558E+01,  0.1516
       629,        95, -4.945548392974E+01,  0.1510
       632,        96, -5.078045363954E+01,  0.1519
       635,        97, -5.213364214824E+01,  0.1528
       643,        98, -5.217503844739E+01,  0.1524
       649,        99, -5.252889591560E+01,  0.1525
       665,       100, -5.258144095116E+01,  0.1504
       672,       101, -5.259657734703E+01,  0.1503
       676,       102, -5.261054819580E+01,  0.1509
       695,       103, -5.269093299991E+01,  0.1482
       716,       104, -5.273200920769E+01,  0.1453
       718,       105, -5.283407202355E+01,  0.1462
       722,       106, -5.303256914991E+01,  0.1468
       724,       107, -5.309994957269E+01,  0.1478
