particle_id,x,y,charge
     1, -2.9855025970E+00, -9.9896169332E+00, 1.0
     2,  8.8063297234E+00, -9.9864150163E+00, 1.0
     3, -6.5377119329E+00, -3.1803291709E+00, 1.0
     4,  3.6569615833E+00, -9.9917799035E+00, 1.0
     5,  6.7170993149E-01,  3.8572747814E+00, 1.0
     6,  5.0404914619E+00,  5.3949831905E+00, 1.0
     7,  8.0307383163E+00,  9.9580052315E+00, 1.0
     8, -6.2287747948E+00,  1.4875996623E+00, 1.0
     9, -7.3417855988E+00, -7.1713919127E+00, 1.0
    10,  1.4029978766E+00, -9.9932767768E+00, 1.0
    11,  5.2047246720E+00, -6.3937168777E+00, 1.0
    12,  8.4200305949E+00, -7.3204777137E+00, 1.0
    13,  3.2582066979E+00,  9.9991013155E+00, 1.0
    14,  9.9919669472E+00,  9.9656236003E+00, 1.0
    15, -6.5379599884E+00,  9.9939619924E+00, 1.0
    16, -7.1953012281E+00,  6.8283289389E+00, 1.0
    17, -9.9942655375E+00, -7.3793537739E+00, 1.0
    18,  9.9927578231E+00, -7.2077598385E-01, 1.0
    19,  9.9710330907E+00,  4.9821387013E+00, 1.0
    20,  9.9966728997E+00, -8.7589542291E+00, 1.0
    21, -9.9853647530E+00, -4.5917731542E+00, 1.0
    22,  5.6380693090E+00,  9.9399506947E+00, 1.0
    23, -4.9077356029E-01,  9.9902164390E+00, 1.0
    24, -9.9996725862E+00,  9.9064161055E+00, 1.0
    25, -9.9590575272E+00, -9.9855016790E+00, 1.0
    26, -3.5380874909E+00,  4.8387390732E+00, 1.0
    27, -9.9927381779E+00, -2.1246029689E+00, 1.0
    28, -9.8228337242E+00,  4.4130401193E+00, 1.0
    29, -2.4979254433E+00, -1.5085193233E-01, 1.0
    30,  7.5986495247E-01, -2.5910390695E+00, 1.0
    31,  1.7891298670E+00,  7.9071575270E+00, 1.0
    32,  1.1357141820E+00, -6.3203635265E+00, 1.0
    33, -4.2631169900E+00,  9.9962046761E+00, 1.0
    34,  9.9898633772E+00,  2.2324435885E+00, 1.0
    35,  7.4018897641E+00,  2.0352704426E+00, 1.0
    36,  7.7106076750E+00,  7.0291635175E+00, 1.0
    37, -2.3820745495E+00,  8.8021168895E+00, 1.0
    38, -5.0163658177E+00, -9.9969422930E+00, 1.0
    39, -7.5654173443E+00, -9.9889055117E+00, 1.0
    40, -8.4479085596E+00,  9.9526482416E+00, 1.0
    41,  5.8781031571E+00, -9.9943839112E+00, 1.0
    42,  9.9859655878E+00, -5.6056682836E+00, 1.0
    43, -9.9825425420E+00,  2.4327543508E+00, 1.0
    44, -3.3907975678E+00, -5.8523104494E+00, 1.0
    45, -9.3461846369E-01, -9.9811990827E+00, 1.0
    46,  6.5115318712E+00, -2.6016761259E+00, 1.0
    47, -9.9951909866E+00,  2.9719659012E-01, 1.0
    48,  9.9968941611E+00, -3.2518248595E+00, 1.0
    49, -9.9973613673E+00,  6.3191753612E+00, 1.0
    50,  3.5963111048E+00,  5.7073593879E-01, 1.0
