particle_id,x,y,charge
     1, -3.1860057863E+00, -9.9966745714E+00, 1.0
     2,  8.2866094029E+00, -9.9998691553E+00, 1.0
     3, -6.6529648261E+00, -2.6263830474E+00, 1.0
     4,  3.7720069086E+00, -9.9890250703E+00, 1.0
     5, -1.0097802314E+00,  2.5638953886E+00, 1.0
     6,  6.7116200264E+00,  6.9717294951E+00, 1.0
     7,  8.0970972761E+00,  9.9981950184E+00, 1.0
     8, -6.0506461469E+00,  2.0151555234E+00, 1.0
     9, -6.8910216880E+00, -6.8762257277E+00, 1.0
    10,  1.5134554225E+00, -9.9891024269E+00, 1.0
    11,  6.4250857939E+00, -6.3023196998E+00, 1.0
    12,  9.9880080540E+00, -7.7597925189E+00, 1.0
    13,  3.1209732688E+00,  9.9950591706E+00, 1.0
    14,  9.9851617326E+00,  9.9808074784E+00, 1.0
    15, -6.3449496942E+00,  9.9995580307E+00, 1.0
    16, -6.8751705094E+00,  6.2250194022E+00, 1.0
    17, -9.9950957556E+00, -7.6123221268E+00, 1.0
    18,  9.9852605983E+00, -4.3924426462E-01, 1.0
    19,  9.9873681896E+00,  5.3213725790E+00, 1.0
    20,  9.9759813065E+00, -9.9294472236E+00, 1.0
    21, -9.9985117113E+00, -5.1210306574E+00, 1.0
    22,  5.6537270746E+00,  9.9956182751E+00, 1.0
    23,  7.3463405636E-01,  9.9962419408E+00, 1.0
    24, -9.9996725862E+00,  9.9064161055E+00, 1.0
    25, -9.9776401634E+00, -9.9985439668E+00, 1.0
    26, -2.6228162673E+00,  6.3581024338E+00, 1.0
    27, -9.9761528368E+00, -2.4996831123E+00, 1.0
    28, -9.9773893307E+00,  4.9231689071E+00, 1.0
    29, -2.5611860080E+00, -1.6078749460E+00, 1.0
    30,  2.0416155106E+00, -2.2054144434E+00, 1.0
    31,  2.2278890468E+00,  6.4243738090E+00, 1.0
    32,  1.9213284033E+00, -6.3072337261E+00, 1.0
    33, -4.2631169900E+00,  9.9962046761E+00, 1.0
    34,  9.9959597554E+00,  2.2453912336E+00, 1.0
    35,  7.2877684340E+00,  3.2319560155E+00, 1.0
    36,  9.9981931025E+00,  7.8181817256E+00, 1.0
    37, -1.9040901323E+00,  9.9808529530E+00, 1.0
    38, -5.4840570692E+00, -9.9817019024E+00, 1.0
    39, -8.0959736469E+00, -9.9940415594E+00, 1.0
    40, -8.3575041521E+00,  9.9962063850E+00, 1.0
    41,  6.0793602095E+00, -9.9986248574E+00, 1.0
    42,  9.9968775895E+00, -5.4682657548E+00, 1.0
    43, -9.9825425420E+00,  2.4327543508E+00, 1.0
    44, -2.7458222658E+00, -6.0934922372E+00, 1.0
    45, -8.1491901145E-01, -9.9901246216E+00, 1.0
    46,  6.4899184399E+00, -1.9350665543E+00, 1.0
    47, -9.9972011515E+00,  1.6837490401E-01, 1.0
    48,  9.9976213964E+00, -3.0142932432E+00, 1.0
    49, -9.9881611710E+00,  7.4269085609E+00, 1.0
    50,  3.5640143180E+00,  2.0773978194E+00, 1.0
