iteration,accepted_count,energy,acceptance_rate
         0,         0,  2.833714215866E+02,  0.0000
        12,         1,  2.831236985398E+02,  0.0833
        16,         2,  2.830469497210E+02,  0.1250
        21,         3,  2.823779105541E+02,  0.1429
        32,         4,  2.821230078303E+02,  0.1250
        36,         5,  2.821073866956E+02,  0.1389
        37,         6,  2.819386615174E+02,  0.1622
        47,         7,  1.846105293090E+02,  0.1489
        51,         8,  1.843375853525E+02,  0.1569
        52,         9,  1.842687578324E+02,  0.1731
        59,        10,  1.840656802721E+02,  0.1695
        81,        11,  1.839591483315E+02,  0.1358
        88,        12,  1.838777472365E+02,  0.1364
        94,        13,  1.837458021244E+02,  0.1383
        96,        14,  1.834065171069E+02,  0.1458
       105,        15,  1.833605241917E+02,  0.1429
       114,        16,  1.831654502346E+02,  0.1404
       125,        17,  1.827333466746E+02,  0.1360
       127,        18,  1.824986759041E+02,  0.1417
       135,        19,  1.823573083702E+02,  0.1407
       151,        20,  1.820291454950E+02,  0.1325
       186,        21,  1.818598729527E+02,  0.1129
       188,        22,  1.817161498872E+02,  0.1170
       189,        23,  1.816183236160E+02,  0.1217
       198,        24,  1.814683747063E+02,  0.1212
       203,        25,  1.803642749678E+02,  0.1232
       219,        26,  1.803496441734E+02,  0.1187
       226,        27,  1.795285695591E+02,  0.1195
       245,        28,  1.791786556315E+02,  0.1143
       249,        29,  1.791133426270E+02,  0.1165
       260,        30,  1.790973091796E+02,  0.1154
       271,        31,  1.789922044499E+02,  0.1144
       279,        32,  1.789824917780E+02,  0.1147
       280,        33,  1.784044687081E+02,  0.1179
       282,        34,  1.782370638921E+02,  0.1206
       285,        35,  1.780216468454E+02,  0.1228
       288,        36,  1.779193156135E+02,  0.1250
       300,        37,  1.776552510777E+02,  0.1233
       308,        38,  1.773464193497E+02,  0.1234
       317,        39,  1.772831181651E+02,  0.1230
       322,        40,  1.772288943607E+02,  0.1242
       323,        41,  1.770804542275E+02,  0.1269
       332,        42,  1.764167134337E+02,  0.1265
       335,        43,  1.763067170270E+02,  0.1284
       337,        44,  1.762799662073E+02,  0.1306
       344,        45,  1.761653880418E+02,  0.1308
       349,        46,  1.759925277725E+02,  0.1318
       353,        47,  1.758991847875E+02,  0.1331
       356,        48,  1.757460753443E+02,  0.1348
       357,        49,  1.754449968226E+02,  0.1373
       362,        50,  1.749698872000E+02,  0.1381
       364,        51,  1.748459764682E+02,  0.1401
