particle_id,x,y,charge
     1, -1.1067850068E+00, -9.4766806338E+00, 1.0
     2,  1.2953994212E+00,  8.5183090871E+00, 1.0
     3, -5.0566729475E+00, -3.8699302872E-01, 1.0
     4,  7.6811054491E+00,  2.2341019644E-01, 1.0
     5, -2.5884184784E-01,  2.3848944962E+00, 1.0
     6, -9.8548293410E+00, -1.8733533321E+00, 1.0
     7,  7.1011425717E+00,  3.7306092042E+00, 1.0
     8,  5.4377473754E+00,  9.3408505491E-02, 1.0
     9, -8.1745944165E+00, -7.1309694461E+00, 1.0
    10, -9.8224558409E+00, -9.9355468470E+00, 1.0
    11,  9.9751271886E+00, -2.5315222621E+00, 1.0
    12, -4.4508634593E+00, -6.7312689964E+00, 1.0
    13, -2.4338818660E+00, -8.5605964516E+00, 1.0
    14, -1.4155272877E+00, -2.6171693558E+00, 1.0
    15,  6.8178666557E+00,  9.8663211958E+00, 1.0
    16, -4.3249415912E+00,  6.5324369819E+00, 1.0
    17, -1.2293662971E+00,  5.9571828488E+00, 1.0
    18,  1.8937151276E+00, -8.0452915757E+00, 1.0
    19, -9.9940944360E+00, -6.4424296162E+00, 1.0
    20, -4.2345365449E+00, -3.7866761314E+00, 1.0
    21,  6.7173946607E+00,  2.1074989088E+00, 1.0
    22, -5.4404926471E+00,  4.9897384810E+00, 1.0
    23, -7.1457998425E+00, -5.6627102899E+00, 1.0
    24,  2.5200665302E+00,  1.0872367464E+00, 1.0
    25,  4.0086056882E+00, -2.2711756366E+00, 1.0
    26, -3.4702602303E+00,  9.5832330033E+00, 1.0
    27,  1.3625806068E-01, -9.9731856985E+00, 1.0
    28, -5.5215421450E+00,  7.7945489526E+00, 1.0
    29,  4.8484838649E+00, -7.9798468113E+00, 1.0
    30, -4.6029868867E+00,  9.2993510825E+00, 1.0
    31, -1.4956903676E-01, -7.5675982427E+00, 1.0
    32, -2.2739228654E+00, -6.2634914312E+00, 1.0
    33, -7.3957234739E+00,  6.8832065734E+00, 1.0
    34,  8.6652639354E+00, -4.1658795523E+00, 1.0
    35, -7.4628650225E+00, -2.3598767441E+00, 1.0
    36,  3.4664686227E+00, -5.5868177519E+00, 1.0
    37,  9.8910230234E+00,  3.2439888495E+00, 1.0
    38, -8.5419513088E+00,  9.0789074704E+00, 1.0
    39, -6.0210670428E+00,  1.6854964389E+00, 1.0
    40,  5.7723128367E+00, -4.1374892834E+00, 1.0
    41,  6.1865729604E+00, -6.2621135851E+00, 1.0
    42,  9.6521762998E+00, -9.4971209420E-01, 1.0
    43,  2.7911268404E+00, -8.9645654946E+00, 1.0
    44,  9.9475571977E+00,  9.5531196328E+00, 1.0
    45,  9.9678777035E+00,  7.0008926291E+00, 1.0
    46,  3.5677876080E+00,  7.5675591511E+00, 1.0
    47, -1.4957115348E+00,  7.8595637873E+00, 1.0
    48,  4.2436615453E-01, -6.8942381003E-01, 1.0
    49, -2.5074880321E+00,  3.6185155096E+00, 1.0
    50,  1.8203777383E-01, -4.8756102782E+00, 1.0
