particle_id,x,y,charge
     1, -4.4176160778E-01, -8.2444470055E+00, 1.0
     2, -4.7981704536E+00,  2.0124875782E+00, 1.0
     3, -1.3669114291E+00, -2.7302294961E+00, 1.0
     4,  6.7684628653E-01, -6.0985642585E-01, 1.0
     5,  8.2967206776E+00, -5.9125800878E+00, 1.0
     6,  7.1181169815E+00,  9.0162702929E+00, 1.0
     7,  1.8758696469E+00, -8.5454530587E+00, 1.0
     8, -4.3728135561E+00,  6.7878731391E+00, 1.0
     9,  5.3024003232E+00, -1.3655826885E+00, 1.0
    10,  9.9459427510E+00,  6.6461621446E+00, 1.0
    11,  6.8558813437E+00,  6.0579078987E+00, 1.0
    12,  9.4678400105E+00,  4.6080400709E+00, 1.0
    13,  6.5035989567E+00,  3.4023469203E+00, 1.0
    14,  2.7148040976E+00, -2.1461292894E+00, 1.0
    15, -6.2975822676E+00,  6.5707737896E+00, 1.0
    16,  2.1597269866E+00,  2.6878113751E+00, 1.0
    17, -9.6485933791E+00,  9.4290608968E-01, 1.0
    18,  4.8133820520E+00,  6.1938339710E+00, 1.0
    19, -4.9287910883E+00, -2.3410770301E-02, 1.0
    20, -2.2429178351E+00,  9.9805533658E+00, 1.0
    21, -2.2415623615E+00,  1.0449043878E+00, 1.0
    22,  4.4612045186E-01,  6.4614219229E+00, 1.0
    23, -9.9377789470E+00, -2.6264967587E+00, 1.0
    24,  5.3147003150E+00, -5.8043240938E+00, 1.0
    25,  5.6220343087E+00, -8.3982091242E+00, 1.0
    26,  4.2940120124E+00,  7.8956032934E+00, 1.0
    27, -8.8853092324E+00,  7.1524397565E+00, 1.0
    28, -6.4815095439E-02,  1.9207017557E+00, 1.0
    29, -6.6047460900E+00,  3.1822328651E+00, 1.0
    30, -5.2125346950E+00,  5.6333140659E+00, 1.0
    31,  1.4174456576E+00,  8.8663177842E+00, 1.0
    32, -4.2155668763E+00, -2.7621544949E+00, 1.0
    33,  8.2866467490E+00,  2.6172368572E+00, 1.0
    34, -1.0277780449E+00,  4.8854020952E+00, 1.0
    35, -9.0204212014E+00, -8.7249029852E+00, 1.0
    36,  8.2047195068E+00, -2.3116193493E+00, 1.0
    37, -2.0008764375E+00,  8.7354039126E+00, 1.0
    38,  9.8080838635E+00, -8.1998813113E+00, 1.0
    39, -3.3493425029E+00,  4.6055010534E+00, 1.0
    40,  5.9530325349E+00,  6.4996376970E-01, 1.0
    41,  9.9520751783E+00,  8.1601518145E+00, 1.0
    42, -9.2571294340E+00,  3.1001588556E+00, 1.0
    43,  2.6450508794E+00,  8.3917374050E+00, 1.0
    44, -6.8130594811E+00, -5.4317950482E+00, 1.0
    45,  1.1598067289E+00,  4.5833279808E+00, 1.0
    46, -7.4621551882E+00, -3.4211838786E+00, 1.0
    47,  8.3019822107E+00, -3.9737376759E+00, 1.0
    48, -2.7078480462E+00, -5.5713365491E+00, 1.0
    49, -2.8927740408E+00, -7.1658491685E+00, 1.0
    50,  3.0576393977E+00, -7.1712384002E+00, 1.0
